Participant,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1,4,2,4,3,4,4,2
2,4,1,4,1,4,4,1
3,3,4,4,3,2,4,3
4,4,1,3,3,4,2,4
5,4,1,4,1,3,4,2
6,4,4,4,1,1,3,4
7,4,1,3,2,3,3,2
8,4,1,3,1,4,2,3
9,4,1,4,1,4,4,3
10,3,2,4,1,3,4,1
11,4,1,3,2,2,2,3
12,4,1,4,1,2,3,1
13,4,1,4,3,4,4,1
14,4,1,4,1,4,3,4
15,4,1,4,1,4,2,2
16,4,2,4,4,4,4,3
17,3,2,4,1,3,4,3
18,4,3,4,1,4,4,3
19,4,3,2,2,3,2,2
20,4,1,4,1,3,3,2
21,3,1,4,1,3,2,3
22,4,2,3,2,4,3,3
23,4,1,4,3,3,3,3
24,3,1,4,2,4,2,3
25,4,3,4,2,4,3,2
26,4,2,4,1,3,3,2
27,3,3,4,2,3,3,3
28,4,1,4,1,3,3,1
29,4,1,4,3,4,4,1
30,4,1,4,3,4,4,2
31,4,1,4,3,3,4,3
32,4,1,3,1,4,4,3
33,3,4,4,2,4,3,2
34,3,1,4,1,3,4,3
35,4,1,4,3,4,3,4
36,4,2,4,2,3,3,3
37,4,3,4,2,3,4,3
38,4,1,4,1,3,3,2
39,4,1,3,3,4,3,2
40,4,2,4,3,2,4,3
41,4,1,4,1,4,4,1
42,4,1,4,1,4,4,1
43,4,1,4,1,3,3,4
44,3,1,3,2,4,3,2
45,4,1,4,3,3,4,4
